Assault Strobe	SOM	2013-12-17 12:07:53	3
Mnemonic Wall	ROE	2013-12-17 12:15:34	2
Pawn of Ulamog	ROE	2013-12-17 12:16:44	1
Jolrael's Centaur	MIR	2013-12-18 07:55:39	2
Searing Touch	TMP	2013-12-18 07:55:51	1
Okiba-Gang Shinobi	BOK	2013-12-18 07:56:14	1
Aven Augur	FUT	2013-12-18 07:56:28	1
Soulsurge Elemental	ROE	2013-12-18 07:56:40	1
Moriok Replica	SOM	2013-12-18 07:56:54	1
Geist-Honored Monk	ISD	2013-12-18 07:57:10	2
Lightning Mauler	AVR	2013-12-18 07:57:25	21
Lightning Mauler	AVR	2013-12-18 07:57:29	-20
Seraph of the Sword	M14	2013-12-18 07:58:00	1
Freyalise's Winds	ICE	2013-12-18 07:58:16	1
Sunken City	DRK	2013-12-18 07:59:14	1
Goblin War Drums	FEM	2013-12-18 08:01:09	1
Basalt Golem	MIR	2013-12-18 08:01:56	1
Seeker	4ED	2013-12-18 08:06:17	1
Shrieking Drake	VIS	2013-12-18 08:06:28	1
Rock Slide	VIS	2013-12-18 08:06:43	1
Karoo	VIS	2013-12-18 08:06:56	1
Coral Atoll	VIS	2013-12-18 08:07:07	1
Everglades	VIS	2013-12-18 08:07:18	1
Dormant Volcano	VIS	2013-12-18 08:08:28	1
Whispers of the Muse	TMP	2013-12-18 08:08:42	1
Spirit en-Kor	STH	2013-12-18 08:09:07	1
Mindwarper	STH	2013-12-18 08:19:05	1
Viashino Heretic	ULG	2013-12-18 08:19:16	3
Knighthood	7ED	2013-12-18 08:19:30	1
Think Tank	ODY	2013-12-18 08:19:39	1
Phantom Flock	JUD	2013-12-18 08:19:52	1
Quiet Speculation	JUD	2013-12-18 08:20:04	1
Headhunter	ONS	2013-12-18 08:20:14	1
Goblin Sledder	ONS	2013-12-18 08:20:30	1
Complicate	ONS	2013-12-18 08:20:49	1
Graceful Adept	CHK	2013-12-18 08:21:39	1
Honden of Night's Reach	CHK	2013-12-18 08:21:59	1
Kami of the Honored Dead	BOK	2013-12-18 08:22:15	1
Belfry Spirit	GPT	2013-12-18 08:22:25	1
Drowned Rusalka	GPT	2013-12-18 08:22:42	1
